"Date";"close_price";"Signal"
"2018-01-23";707.0;"HOLD"
"2018-01-24";707.4;"HOLD"
"2018-01-25";704.85;"HOLD"
"2018-01-29";719.7;"SELL"
"2018-01-30";712.9;"HOLD"
"2018-01-31";695.1;"HOLD"
"2018-02-01";674.05;"HOLD"
"2018-02-02";644.8;"HOLD"
"2018-02-05";659.1;"HOLD"
"2018-02-06";649.35;"HOLD"
"2018-02-07";648.0;"HOLD"
"2018-02-08";665.5;"HOLD"
"2018-02-09";663.65;"HOLD"
"2018-02-12";661.5;"HOLD"
"2018-02-14";651.75;"HOLD"
"2018-02-15";655.9;"HOLD"
"2018-02-16";652.45;"HOLD"
"2018-02-19";652.25;"HOLD"
"2018-02-20";650.2;"HOLD"
